Date,Open,High,Low,Last,Close
30-04-2020,85.95,93.75,85.95,93.75,93.25
04-05-2020,87,87.2,81.5,84.05,83.9
05-05-2020,86,86.8,80.4,81,80.9
06-05-2020,81.55,83.95,80.35,83.7,83.2
07-05-2020,82.9,84.65,82.1,82.55,82.5
08-05-2020,84.5,84.95,80.55,81.2,81.05
11-05-2020,81.45,90.65,81.4,85.85,86.1
12-05-2020,85.95,87.7,83.5,86.45,86.2
13-05-2020,92.5,92.5,86.25,88,87.2
14-05-2020,83.95,85.3,82.55,83.9,83.8
15-05-2020,84.7,85.35,82.8,84.15,84.35
18-05-2020,84.5,84.5,79.6,80.9,80.65
19-05-2020,82.5,85.65,81.5,82.3,81.8
20-05-2020,81.25,84.4,80.7,83.65,83.45
21-05-2020,83.1,85.2,82.9,83.95,84.1
22-05-2020,83.4,83.9,82,83.05,82.8
26-05-2020,83.9,85.7,82.6,83.25,83.1
27-05-2020,84.1,86,84,84.7,84.55
28-05-2020,86,88.15,84.55,87.15,87
29-05-2020,85.55,87.5,84.65,86.7,87
01-06-2020,88.9,91.2,88,89.6,89.55
02-06-2020,90,97.3,89.75,96.15,96.5
03-06-2020,100,101.45,97.4,98.5,98.75
04-06-2020,99,101.4,96.8,98.75,98.5
05-06-2020,100.45,112.45,99.05,111.95,110.75
08-06-2020,114,119.15,113.35,115.65,115.45
09-06-2020,117.45,117.9,110.25,111.25,111.45
10-06-2020,111,113,108.5,112.2,111.4
11-06-2020,109.9,111.15,105,106.1,106.15
12-06-2020,98,106.25,98,104.75,105.3
15-06-2020,104.65,104.65,100.05,100.65,100.5
16-06-2020,102,103.5,92,94.6,94.75
17-06-2020,93,96.4,91.8,95.35,95.4
18-06-2020,95,97.2,94.15,96.5,96.35
19-06-2020,96.5,103.9,95.6,101.9,102.5
22-06-2020,102.35,104.9,101,102.55,102.65
23-06-2020,103,106,101.9,104.4,104.4
24-06-2020,105.25,110.8,104.2,105.15,104.8
25-06-2020,103.85,106.3,101.65,104,103.8
26-06-2020,105.4,106.05,100.35,102,101.4
29-06-2020,101.4,101.4,98.05,99.7,99.45
30-06-2020,101.75,102.3,97.3,98.75,98.25
01-07-2020,99,101.45,98.2,100.5,100.75
02-07-2020,100.75,102.95,100.4,101.65,101.55
03-07-2020,102.85,106.35,102.1,103.4,103.45
06-07-2020,105,109.9,104.5,109,109
07-07-2020,109.8,112.6,108.05,108.95,109.05
08-07-2020,109.5,110.85,104.2,105.6,105.35
09-07-2020,106.3,108.95,104.65,107.4,106.95
10-07-2020,106.7,108.6,105.4,107.25,107.6
13-07-2020,108.85,112.1,106.85,108.3,108
14-07-2020,106.9,107.55,104.1,105.2,105.15
15-07-2020,106.8,106.8,102.5,103.45,103.2
16-07-2020,103.95,103.95,100.6,102.95,102.95
17-07-2020,103.65,106.95,103.3,106.35,106.4
20-07-2020,106.35,106.35,103.85,104.95,105.05
21-07-2020,106,109.7,105.5,108.15,108.45
22-07-2020,108.5,109.75,104.25,105.45,105.15
23-07-2020,105.45,106.45,104.7,106,106.05
24-07-2020,104.7,105.5,102.7,103.65,103.75
27-07-2020,104,104.5,101.3,101.9,101.7
28-07-2020,102.3,107.2,102,106.2,106.45
29-07-2020,108.1,108.75,104.85,105.7,105.75
30-07-2020,106.4,106.75,102.85,103.25,103.65
31-07-2020,104,105.4,102.3,105.05,104.65
03-08-2020,103,114.4,102.9,111.7,113.05
04-08-2020,112.95,115.1,110.8,111.15,111.45
05-08-2020,112.4,117.65,112,115.55,115.4
06-08-2020,116.2,117.7,115.5,117.15,116.8
07-08-2020,117,119.7,116,118.9,119.1
10-08-2020,119.95,124.7,119.7,123.35,123.85
11-08-2020,125,125.8,121.4,122.55,122.3
12-08-2020,121,126.4,120.6,125,125.35
13-08-2020,126.1,131.9,124.4,131.1,131.15
14-08-2020,131.15,132.65,123.7,124.85,124.6
17-08-2020,124.5,126.25,120.6,123.7,123.55
18-08-2020,124,127.5,123.6,125.55,125.6
19-08-2020,127,127.6,124.75,125.3,125.15
20-08-2020,123.45,125.65,121.1,121.85,121.7
21-08-2020,124.2,124.2,120.15,121.25,120.9
24-08-2020,122,123,120.8,121.1,121.2
25-08-2020,121.8,128.35,121.1,127.65,127.1
26-08-2020,130.5,139,128.35,138.4,137.9
27-08-2020,140.1,146.85,139.3,143.6,144.25
28-08-2020,144.15,146.2,140.5,142.75,142.8
31-08-2020,144.5,147.95,138.2,142.1,143.2
01-09-2020,143.4,145.15,140.4,144,143.8
02-09-2020,144.3,151.65,141.45,151.5,150.3
03-09-2020,151.6,155.2,149.55,151.45,151.85
04-09-2020,147.9,153.65,147,147.6,147.8
07-09-2020,150,152,148,149,149.4
08-09-2020,149.45,149.6,141.2,142.35,142.3
09-09-2020,141,141.75,135.7,140.65,140.1
10-09-2020,142.8,144.5,138,143.1,143.3
11-09-2020,143.1,146.8,141.65,143.65,144.3
14-09-2020,147.2,151.1,145.5,147.15,148.55
15-09-2020,149.4,149.4,146.55,148.9,148.4
16-09-2020,149.2,154.3,148.55,151,151.45
17-09-2020,150.8,151,146.2,147.75,147.65
18-09-2020,148.7,150.5,146.25,147.75,147.9
21-09-2020,147.75,147.75,135.5,136.3,137.45
22-09-2020,138,138.15,129.65,133.85,133.1
23-09-2020,135.5,136.7,127.9,131.4,131.4
24-09-2020,127.9,128.8,122.15,122.75,122.8
25-09-2020,123.7,128.35,123.1,127,127.25
28-09-2020,128.9,134.3,127.5,133.1,132.85
29-09-2020,134.95,136,130.7,131.95,131.7
30-09-2020,131.55,134.4,130.3,133.4,133.3
01-10-2020,135.9,136.5,132.55,133.85,133.5
05-10-2020,136.95,137.5,132.05,134.2,133.9
06-10-2020,138,145.8,136,144.45,144.75
07-10-2020,144.25,144.5,139.8,141.15,141
08-10-2020,142.85,143.5,139.6,141.15,140.95
09-10-2020,141.15,142.65,138,138.6,138.45
12-10-2020,139.65,139.65,133,135.9,135.9
13-10-2020,135.4,137.1,132.85,133.95,134.1
14-10-2020,133.75,134.65,128.8,130.5,130.7
15-10-2020,131.5,134.35,126.5,126.55,126.95
16-10-2020,129.4,130.05,126,127.8,127.75
19-10-2020,129.8,130.4,127.8,128.25,128.25
20-10-2020,128.1,130.3,126.35,129.35,129.65
21-10-2020,131.05,133.1,128.3,130.6,130.25
22-10-2020,129.7,134.6,128.45,134.25,133.5
23-10-2020,134.9,138.9,134.1,136.65,137
26-10-2020,138.4,140.8,131.25,133.65,133.7
27-10-2020,134.15,136.75,130.85,136.65,135.65
28-10-2020,139,143.25,133.5,134.75,134.8
29-10-2020,132,133,130,132,131.9
30-10-2020,133.2,134.5,130.3,133.2,132.65
02-11-2020,133.65,134,131.1,132.7,132.85
03-11-2020,135,137.4,133.55,133.9,134.1
04-11-2020,135.6,137,134,135.65,135.9
05-11-2020,137,138,136,137.65,137.65
06-11-2020,137.65,142.3,137.65,138.7,139
09-11-2020,140.6,141.5,138.7,141.05,141
10-11-2020,144.05,146.7,142.75,145.9,146
11-11-2020,146.5,151.5,145.65,151.1,150.95
12-11-2020,150.95,153.85,150,151.15,151.2
13-11-2020,150,150,145.35,146.2,146.35
14-11-2020,148.7,150.8,148,148.45,148.85
17-11-2020,152.5,159.35,152.2,158,158
18-11-2020,158.85,178.8,158.55,173,173.5
19-11-2020,171.4,176.35,166.55,166.95,167.95
20-11-2020,170.05,171.55,165.55,168.3,169.1
23-11-2020,169.5,173.9,165.55,170.45,170.7
24-11-2020,171.85,175.5,171.1,172,172.05
25-11-2020,175,176.8,169.25,170.95,171.45
26-11-2020,171.6,175,171.05,174.65,173.75
27-11-2020,174.65,183.85,174.65,178.65,180.35
01-12-2020,182.35,182.4,178.1,179.85,179.75
02-12-2020,184,187.35,181.1,183.3,183.6
03-12-2020,185,186,183.25,185,184.85
04-12-2020,186.5,188.8,182.2,184.25,184.15
07-12-2020,184.45,186.45,182.7,183.9,183.55
08-12-2020,184.95,185.7,178.95,181.75,181.8
09-12-2020,183,186.4,181.65,182.85,182.7
10-12-2020,182.7,182.7,176.4,177.95,177.6
11-12-2020,177.95,181.45,176.5,178.2,178.85
14-12-2020,181,181.5,176.7,177.9,177.65
15-12-2020,176.45,179.7,173.25,178.9,178.9
16-12-2020,181,183.8,180.1,182.25,182.55
17-12-2020,184,184,180.65,181.3,181.7
18-12-2020,180.9,181.5,176.65,180.4,180.55
21-12-2020,176,177.55,162.5,163.5,164.55
22-12-2020,164.55,169.2,156.7,165.05,164.95
23-12-2020,165,169.7,163.4,169.5,169.2
24-12-2020,172,178,172,175.8,175.95
28-12-2020,179.85,187.4,179,186,186.35
29-12-2020,187.9,188.45,181.1,183.5,183.45
30-12-2020,183.1,185.4,180.4,184.85,184.15
31-12-2020,184.85,187.5,182.8,183.5,183.85
01-01-2021,184.95,187,184.5,186.55,186.5
04-01-2021,191.8,193,188.75,191.15,191.3
05-01-2021,187.1,193.9,185.05,193,193.2
06-01-2021,194.45,197.6,190.65,194.9,195.4
07-01-2021,197,200.35,195.1,196.5,196.75
08-01-2021,198.75,201.5,197.1,197.85,198.15
11-01-2021,199.9,225.4,199.65,223.2,220.65
12-01-2021,227,252.4,224.1,237.25,237.8
13-01-2021,242.9,248.8,238.4,242.85,242.6
14-01-2021,242.85,249.8,238.6,245.25,245.1
15-01-2021,246,264.65,242.6,261.6,260.3
18-01-2021,261.65,262.45,241.15,244.5,245.95
19-01-2021,251.5,261.7,251.3,258.75,258.65
20-01-2021,260,277.5,258.85,274.4,274.9
21-01-2021,281,299,280,292.45,290.6
22-01-2021,295.95,306.9,278.35,290.85,289.35
25-01-2021,296.9,299.5,277.35,278.7,279.15
27-01-2021,274.9,275,265.7,266.75,267.5
28-01-2021,260.05,273.4,259.05,266,266.8
29-01-2021,273,278.8,260.6,262.35,262.7
01-02-2021,269.75,282,255.35,280.3,279.6
02-02-2021,293.6,328.85,290.4,326.95,322
03-02-2021,339.2,341.9,326.2,331.2,331
04-02-2021,329,334.5,322.45,326.1,326.15
05-02-2021,327.6,330,312.6,318.45,315.9
08-02-2021,318.75,339.25,318,336.55,335.95
09-02-2021,337,338.5,322.2,325.85,325.05
10-02-2021,326,332.65,319.5,328.55,328.9
11-02-2021,326.45,331.35,323.4,324.9,325
12-02-2021,326.4,330.5,321.25,324.55,325.4
15-02-2021,329.9,335.8,324,331.9,333.35
16-02-2021,335.45,337.9,327.5,329,329.2
17-02-2021,326.9,334.25,325.45,329.7,330.15
18-02-2021,331.5,331.75,321.1,323,323.85
19-02-2021,321.95,321.95,301.4,312.45,311.85
22-02-2021,312.45,313.9,302.15,302.6,304.5
23-02-2021,308.5,328.9,308.5,324.6,324
24-02-2021,325,330,316.5,321.2,321.65
25-02-2021,325.35,334.7,323.25,333.6,333.15
26-02-2021,323,332.95,318.85,321.9,322.95
01-03-2021,330,331.85,322.7,327.7,328.3
02-03-2021,331.1,347.2,326.45,345.25,345.75
03-03-2021,348.65,357,346.5,347.1,348.5
04-03-2021,339,345.4,337.3,340,339.2
05-03-2021,333,337.85,319.7,326.45,325.15
08-03-2021,331.75,331.75,318.8,321.35,321.25
09-03-2021,325,328.35,309.6,315.15,315.2
10-03-2021,319.5,324.45,316.7,321.75,321.45
12-03-2021,325.05,326.5,314.15,317.45,317.55
15-03-2021,320,320.4,310.05,318.2,318.55
16-03-2021,321,321.9,315.1,319,319.95
17-03-2021,318.6,320,304,305.5,305.8
18-03-2021,311,316.6,299.75,308,307
19-03-2021,303.5,311,290.2,308.2,308.95
22-03-2021,306.45,307.5,300.1,302.85,303.05
23-03-2021,305,312.25,304,306.9,307.4
24-03-2021,303.55,305,293.2,294.75,294.45
25-03-2021,294,294,282.25,286,285.55
26-03-2021,290.5,301.4,290.5,296.75,296.4
30-03-2021,300.5,301.3,292.7,297.05,297.05
31-03-2021,299,307.5,297.5,301.45,301.8
01-04-2021,306.75,309.85,303.05,307.25,307.75
05-04-2021,306.8,311.7,297.2,305.5,305.05
06-04-2021,306.15,313.8,304.8,308,307.75
07-04-2021,306.75,310.65,305.1,307.65,307.8
08-04-2021,307.9,319.8,307.5,314,313.95
09-04-2021,313.2,325,312.5,317.55,318.2
12-04-2021,307.85,307.85,282.9,287.5,286.55
13-04-2021,287.25,304.55,280.55,302,302.85
15-04-2021,303,307.55,296.5,302.2,303.5
16-04-2021,302,315,300.15,308.75,310
19-04-2021,295,304.5,292.8,301.7,301.4
20-04-2021,307.7,308.15,294.2,297.4,298.05
22-04-2021,294,302.5,292.2,294.5,294.55
23-04-2021,291,300,290.5,293.2,294
26-04-2021,297,299,294.6,295.85,295.4
27-04-2021,295.7,302.5,295.1,302.1,301.5
28-04-2021,303.5,309.5,303,305.15,305.9
29-04-2021,308.9,310,301.25,302.2,301.9
30-04-2021,298.2,301.3,292.55,293.1,293.85
